financial_year,property_type,no_of_cases,annual_value,median_annual_value,property_tax_collection
2002,HDB,780522,,,33681
2002,Private Residential,204943,,,287656
2002,Commercial,63179,,,250178
2002,Industrial,23533,,,265690
2002,Others,4164,,,185015
2003,HDB,793949,,,32382
2003,Private Residential,216809,,,269401
2003,Commercial,64549,,,282671
2003,Industrial,26443,,,324610
2003,Others,3901,,,186192
2004,HDB,800298,,,51325
2004,Private Residential,229047,,,287125
2004,Commercial,65433,,,500220
2004,Industrial,27183,,,441624
2004,Others,3633,,,228301
2005,HDB,808771,,,72694
2005,Private Residential,237522,,,309703
2005,Commercial,66169,,,512972
2005,Industrial,27613,,,459622
2005,Others,3588,,,251267
2006,HDB,814123,4568182.0,,82073
2006,Private Residential,240652,5395685.0,,310829
2006,Commercial,66186,5421594.0,,565779
2006,Industrial,28174,4592576.0,,474975
2006,Others,4122,3991085.0,,312575
2007,HDB,821546,5538635.0,,86083
2007,Private Residential,240525,5461625.0,,376615
2007,Commercial,66360,7949568.0,,763990
2007,Industrial,29108,4619586.0,,473459
2007,Others,4206,5228859.0,,451938
2008,HDB,827168,5573563.0,,82164
2008,Private Residential,245826,6493329.0,,445512
2008,Commercial,67027,8760042.0,,984143
2008,Industrial,31042,6104261.0,,636185
2008,Others,4240,6451032.0,,460380
2009,HDB,829267,6855130.0,,98139
2009,Private Residential,248587,6785710.0,,418383
2009,Commercial,75767,10224382.0,,630157
2009,Industrial,32297,7895683.0,,437322
2009,Others,3837,4558745.0,,137739
2010,HDB,836041,6864915.0,8100.0,112520
2010,Private Residential,259342,8265247.0,24000.0,536166
2010,Commercial,76825,10372654.0,42000.0,896014
2010,Industrial,35591,8344341.0,36900.0,838790
2010,Others,2209,4706050.0,150000.0,188774
2011,HDB,847608,8119977.0,9600.0,104543
2011,Private Residential,269748,9560314.0,27600.0,599055
2011,Commercial,77586,12630138.0,45600.0,1229525
2011,Industrial,36709,8942726.0,39500.0,907783
2011,Others,2277,5497245.0,274000.0,830623
2012,HDB,858641,,10500.0,144415
2012,Private Residential,282185,,28800.0,617439
2012,Commercial,77768,,48000.0,1297599
2012,Industrial,39497,,42500.0,960293
2012,Others,2089,,284000.0,475979
2013,HDB,873254,,10800.0,150158
2013,Private Residential,294634,,30000.0,719953
2013,Commercial,77928,,53200.0,1420893
2013,Industrial,41144,,43850.0,998659
2013,Others,2164,,293500.0,596153
2014,HDB,899624,,10440.0,140286
2014,Private Residential,314788,,29400.0,837899
2014,Commercial,78847,,55600.0,1452177
2014,Industrial,45118,,44400.0,1139602
2014,Others,1916,,306000.0,475327
2015,HDB,922365,,10080.0,134257
2015,Private Residential,339622,,27000.0,853202
2015,Commercial,79221,,57600.0,1467894
2015,Industrial,48942,,41800.0,1265357
2015,Others,1527,,335000.0,440070
2016,HDB,943089,,9600.0,122876
2016,Private Residential,367588,,25200.0,838729
2016,Commercial,77421,,60200.0,1569334
2016,Industrial,52209,,40000.0,1212276
2016,Others,1189,,280000.0,314253
2017,HDB,971917,,9600.0,117947
2017,Private Residential,386642,,24000.0,830792
2017,Commercial,79183,,60600.0,1547935
2017,Industrial,53036,,37200.0,1274141
2017,Others,1019,,285000.0,329847
2018,HDB,990093,,9600.0,120168
2018,Private Residential,400023,,24000.0,830087
2018,Commercial,80039,,61200.0,1635055
2018,Industrial,53817,,35800.0,1321801
2018,Others,1283,,231000.0,375977
2019,HDB,1002671,,9600.0,121330
2019,Private Residential,402323,,24000.0,818724
2019,Commercial,81555,,62800.0,1715165
2019,Industrial,54590,,36000.0,1338633
2019,Others,1383,,229000.0,419589
