financial_year,type_of_private_residential,no_of_cases,median_annual_value,property_tax_collection
2010,Non-landed (includes Executive Condominiums),192244,22800,404267
2010,Landed,67098,28200,131899
2011,Non-landed (includes Executive Condominiums),198222,26400,431889
2011,Landed,71526,31200,167166
2012,Non-landed (includes Executive Condominiums),209961,27600,450662
2012,Landed,72224,33600,166777
2013,Non-landed (includes Executive Condominiums),222117,28800,515412
2013,Landed,72517,34800,204541
2014,Non-landed (includes Executive Condominiums),241427,27600,593966
2014,Landed,73361,36000,243933
2015,Non-landed (includes Executive Condominiums),265654,25200,609187
2015,Landed,73968,34800,244015
2016,Non-landed (includes Executive Condominiums),292636,24000,597737
2016,Landed,74952,34800,240992
2017,Non-landed (includes Executive Condominiums),311407,22200,594296
2017,Landed,75235,33600,236496
2018,Non-landed (includes Executive Condominiums),324556,22200,595284
2018,Landed,75467,34200,234803
2019,Non-landed (includes Executive Condominiums),325972,22200,581859
2019,Landed,76351,34800,236865
