seq_no,instn_code,instn_name,instn_srvc_type_cde,instn_srvc_type,instn_blk_hse_no,instn_street_name,instn_flr_no,instn_unit_no,instn_bldg_name,instn_pc,instn_ofc_no,instn_email,ap_user_name
201500000373,PT9160,SAFARI HOUSE PRESCHOOL YISHUN,CC,Childcare Centre,5.0,YISHUN INDUSTRIAL STREET 1,1.0,2.0,NORTH SPRING BIZHUB,768161,67107328.0,YS@ZOO-PHONICS.COM.SG,
201500000372,15C0226,TSI & PARTNERS FAMILY CLINIC,HC,Healthcare Institution,151.0,SERANGOON NORTH AVENUE 2,1.0,1.0,,550151,63834818.0,,
201500000366,SS20150009,UNITED EYECARE (BOON KENG) LLP,OS,Optical Shop,27.0,BENDEMEER ROAD,1.0,641.0,BENDEMEER SHOPPING MALL,330027,62978298.0,ueyecare@yahoo.com.sg,
201500000364,YM0160,MY WORLD PRESCHOOL LTD.,CC,Childcare Centre,,WOODLANDS CRESCENT,1.0,82.0,,732787,63621566.0,ccadm@myworld.org.sg,
201500000363,YM0159,MY WORLD PRESCHOOL LTD.,CC,Childcare Centre,270.0,YISHUN STREET 22,1.0,58.0,,760270,67560729.0,ccynl@myworld.org.sg,
201500000362,YM0158,MY WORLD PRESCHOOL LTD.,CC,Childcare Centre,14.0,ST. GEORGE'S ROAD,1.0,70.0,,320014,62982543.0,ccstg@myworld.org.sg,
201500000361,PT9159,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,CC,Childcare Centre,,COMPASSVALE DRIVE,,,,541201,62436639.0,sivaneswary.n@littlefootprints.com.sg,
201500000360,PT9158,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,CC,Childcare Centre,,COMPASSVALE LINK,,,,541275,62350109.0,jacqueline.teo@littlefootprint.com.sg,
201500000282,15D0165,NOBLE DENTAL SURGERY,HC,Healthcare Institution,219.0,BEDOK CENTRAL,1.0,126.0,,460219,65561126.0,,
201500000280,PT9152,STAR LEARNERS @ CCK SPORTS CENTRE PTE. LTD.,CC,Childcare Centre,1.0,CHOA CHU KANG STREET 53,1.0,1.0,CHOA CHU KANG SPORTS CENTRE,689236,62500173.0,mengwei.tan@starlearners.com.sg,
201500000276,15D0161,NEUA DENTAL,HC,Healthcare Institution,321.0,ALEXANDRA ROAD,2.0,17.0,ALEXANDRA CENTRAL,159971,62500128.0,contact@neua.com.sg,
201500000273,SS20150102,MANCHESTER EYEWEAR,OS,Optical Shop,30.0,SEMBAWANG DRIVE,1.0,4.0,SUN PLAZA,757713,67541965.0,luciuscheong@916@gmail.com,
201500000272,PT9151,PAT'S SCHOOLHOUSE PTE. LTD.,CC,Childcare Centre,755.0,UPPER SERANGOON ROAD,,,,534625,62800891.0,lilianlai@patschoolhouse.com,
201500000271,RC1768,BETHLEHEM EDUCARE CENTRE,CC,Childcare Centre,320.0,TAMPINES STREET 33,1.0,106.0,,520320,66046912.0,KOMALA.DAVID@YAHOO.COM,
201500000270,PT9150,SDM-MORIAH PRESCHOOL (GREENWICH) PTE LTD,CC,Childcare Centre,1.0,SELETAR ROAD,2.0,7.0,"GREENWICH, THE",807011,62579877.0,sdmmoriah_gv@sdmgroup.sg,
201500000269,PT9149,CAMBRIDGE@FERNVALE PTE. LTD.,CC,Childcare Centre,,FERNVALE ROAD,1.0,46.0,CORAL VALE,791409,64257560.0,fernvale@cambridge.school,
201500000268,PT9148,STAR LEARNERS @ WOODLANDS CIRCLE PTE. LTD.,CC,Childcare Centre,,WOODLANDS CIRCLE,1.0,300.0,,731764,67632030.0,MENGWEI.TAN@STARLEARNERS.COM.SG,
201500000267,PT9147,STAR LEARNERS RESPECT PTE. LTD.,CC,Childcare Centre,51.0,LORONG PUNTONG,,,"INGLEWOOD, THE",576441,62500173.0,MENGWEI.TAN@STARLEARNERS.COM.SG,
201500000265,PT9145,ORION PRESCHOOL,CC,Childcare Centre,90.0,TANJONG KATONG ROAD,1.0,0.0,NINE DEGREES,436959,64456628.0,ADMIN@ORIONPRESCHOOL.COM.SG,
201500000263,SS20150112,APPLE EYEWEAR,OS,Optical Shop,725.0,CLEMENTI WEST STREET 2,1.0,196.0,,120725,68730255.0,amberpeh@gmail.com,
201500000260,15M0156,HEALTHWAY MEDICAL CLINIC,HC,Healthcare Institution,190.0,LORONG 6 TOA PAYOH,2.0,512.0,,310190,67333855.0,jed.wong@healthwaymedical.com,
201500000351,SS20150024,WINK OPTICS PREMIUM,OS,Optical Shop,3.0,TEMASEK BOULEVARD,2.0,418.0,SUNTEC CITY MALL,38983,66943195.0,suntec@winkoptics.com.sg,
201500000350,SS20150025,WINK OPTICS,OS,Optical Shop,3.0,SIMEI STREET 6,,7.0,EASTPOINT MALL,528833,63762862.0,eastpoint@winkoptics.com.sg,
201500000349,SS20150026,WINK OPTICS,OS,Optical Shop,33.0,SENGKANG WEST AVENUE,,27.0,THE SELETAR MALL,797653,63416922.0,seletarmall@winkoptics.com.sg,
201500000348,PT9157,STAR LEARNERS @ YIO CHU KANG PTE. LTD.,CC,Childcare Centre,645.0,ANG MO KIO AVENUE 6,1.0,4991.0,,560645,62500173.0,MENGWEI.TAN@STARLEARNERS.COM.SG,
201500000347,PT9156,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,CC,Childcare Centre,,EDGEFIELD PLAINS,,,,824107,62436650.0,urmila.rai@littlefootprints.com.sg,
201500000345,PT9154,ICHIBAN MONTESSORI CHILDCARE CENTRE (PURVIS) PTE. LTD.,CC,Childcare Centre,17.0,PURVIS STREET,1.0,1.0,,188596,63339392.0,icb_631@yahoo.com,
201500000343,15M0216,PANHEALTH FAMILY CLINIC,HC,Healthcare Institution,,SUMANG LINK,1.0,3.0,,822312,69660595.0,,
201500000344,15D0215,TOA PAYOH DENTAL CENTRE,HC,Healthcare Institution,107.0,LORONG 1 TOA PAYOH,1.0,258.0,,310107,62501493.0,,
201500000341,15D0213,PURE DENTAL STUDIO,HC,Healthcare Institution,190.0,LORONG 6 TOA PAYOH,1.0,572.0,,310190,94387600.0,studio@puredentalpractice.com,
201500000339,YM0157,MY WORLD PRESCHOOL LTD.,CC,Childcare Centre,52.0,LENGKOK BAHRU,1.0,301.0,,150052,64733109.0,cclke@myworld.org.sg,
201500000338,PT9153,LITTLE FOOTPRINTS PRESCHOOL PTE LTD,CC,Childcare Centre,,SENGKANG EAST WAY,1.0,468.0,,544260,62436640.0,a.rajeswary@littlefootprints.com.sg,
201500000336,15M0211,ACUMED MEDICAL GROUP,HC,Healthcare Institution,1.0,JOO KOON CIRCLE,1.0,23.0,FAIRPRICE HUB,629117,68615755.0,,
201500000335,ST0153,PCF SPARKLETOTS PRESCHOOL @ TAMAN JURONG BLK 161 (CC),CC,Childcare Centre,161.0,YUNG PING ROAD,1.0,35.0,,610161,62686016.0,Carole.SeePG@pcf.org.sg,
201500000334,RC1769,WHOLE CHILD NURTURE CENTRE,CC,Childcare Centre,,FERNVALE LINK,1.0,243.0,,793430,62864298.0,PRINCIPALPRESCHOOL@KAMPUNGSENANG.ORG,
201500000333,15D0208,UNITY DENTICARE,HC,Healthcare Institution,301.0,UPPER THOMSON ROAD,,12.0,THOMSON PLAZA,574408,63366222.0,DC_license@ntuchealth.sg,
201500000328,15D0204,TRIPOD DENTAL CLINIC,HC,Healthcare Institution,5.0,UPPER BOON KENG ROAD,1.0,18.0,MULTI STOREY CAR PARK,380005,66357993.0,tripod.dentalclinic@gmail.com,
201500000332,15C0201,TSD DENTAL GROUP (PRIMECARE),HC,Healthcare Institution,681.0,HOUGANG AVENUE 8,1.0,823.0,,530681,63868136.0,,
201500000323,ST0152,PCF SPARKLETOTS PRESCHOOL @ZHENGHUA BLK 550B (CC),CC,Childcare Centre,,SEGAR ROAD,1.0,628.0,,672550,67104138.0,NG.LIAN.SEE@PCF.ORG.SG,
201500000319,SS20150056,AEROV PTE LTD,OS,Optical Shop,6.0,SIN MING ROAD,1.0,18.0,SIN MING PLAZA,575585,62614700.0,brian@aerov.com.sg,
201500000317,15C0194,ALEXANDER DENTAL ASSOCIATES,HC,Healthcare Institution,304.0,ORCHARD ROAD,5.0,30.0,LUCKY PLAZA,238863,67320107.0,dr.audrey.alexander@gmail.com,
201500000315,15D0192,TSD DENTAL GROUP (TAMPINES),HC,Healthcare Institution,20.0,TAMPINES CENTRAL 1,1.0,7.0,TAMPINES MRT STATION,529538,67895488.0,,
201500000311,15M0188,SMG SPECIALIST CENTRE,HC,Healthcare Institution,290.0,ORCHARD ROAD,16.0,12.0,THE PARAGON,238859,62352152.0,sspc@smg.sg,
201500000308,YM0156,MY WORLD PRESCHOOL LTD.,CC,Childcare Centre,,CANBERRA ROAD,1.0,221.0,,752350,64815569.0,cccbr@myworld.org.sg,
201500000307,SS20150068,VISION LAB EYEWEAR PTE LTD,OS,Optical Shop,30.0,SEMBAWANG DRIVE,,19.0,SUN PLAZA,757713,65556559.0,jingyi@visionlabeyewear.com.sg,
201500000306,SS20150069,VISION LAB EYEWEAR PTE LTD,OS,Optical Shop,709.0,ANG MO KIO AVENUE 8,1.0,2597.0,,560709,64580025.0,jingyi@visionlabeyewear.com.sg,
201500000303,15M0182,SENNETT MEDICAL CLINIC,HC,Healthcare Institution,55.0,SIGLAP ROAD,,10.0,SIGLAP CENTRE,455871,62800670.0,sennettmedicalclinic@gmail.com,
201500000301,15C0173,TSD DENTAL GROUP (YISHUN),HC,Healthcare Institution,747.0,YISHUN STREET 72,1.0,100.0,,760747,67582112.0,,
201500000290,15M0171,ONECARE CLINIC BUKIT BATOK,HC,Healthcare Institution,630.0,BUKIT BATOK CENTRAL,1.0,148.0,,650630,65636913.0,onecare.bukitbatok@gmail.com,
201500000300,15C0175,TSD DENTAL GROUP (HOUGANG),HC,Healthcare Institution,809.0,HOUGANG CENTRAL,1.0,166.0,,530809,63851733.0,,
201500000299,15C0174,TSD DENTAL GROUP (CCK306),HC,Healthcare Institution,306.0,CHOA CHU KANG AVENUE 4,1.0,683.0,,680306,64623349.0,,
201500000295,15M0180,RAFFLESMEDICAL,HC,Healthcare Institution,1.0,SCOTTS ROAD,4.0,,SHAW CENTRE,228208,68380080.0,shawcentre@rafflesmedical.com,
201500000288,SS20150087,V'SION CO. EYEWEAR LLP,OS,Optical Shop,1.0,JELEBU ROAD,1.0,5.0,BUKIT PANJANG PLAZA,677743,67540980.0,andreagoh@live.com.sg,
201500000287,SS20150088,GO EYECARE (PASIR RIS) PTE. LTD.,OS,Optical Shop,443.0,PASIR RIS DRIVE 6,1.0,18.0,,510443,65817677.0,,
201500000286,EP15100,SG REHAB PTE LTD,EI,Early Intervention Programmes,316.0,TANGLIN ROAD,2.0,1.0,,247978,68010664.0,admin@sgrehab.com,
201500000285,SS20150090,MAGICAL EYE CARE,OS,Optical Shop,123.0,BUKIT MERAH LANE 1,1.0,102.0,,150123,68780098.0,magicaleyecare@gmail.com,
201500000281,15M0168,HEARTLAND FAMILY CLINIC,HC,Healthcare Institution,,YISHUN STREET 31,1.0,167.0,,763333,62500655.0,enquiry@heartlandfamilyclinic.sg,
201500000108,PT9610,AL-NASRY@SENGKANG SOUTH KINDERGARTEN,KN,Kindergarten,552.0,HOUGANG STREET 51,,296.0,,530552,90223305.0,adleenazree@nigelherbs.com,
201500000107,PT9583,QUAYSIDE ISLE PREPARATORY SCHOOL,KN,Kindergarten,31.0,OCEAN WAY,1.0,17.0,QUAYSIDE ISLE,98375,62357527.0,oprokazova@quips.edu.sg,
201500000106,YM0154,MY WORLD PRESCHOOL LTD.,CC,Childcare Centre,725.0,WOODLANDS AVENUE 6,1.0,494.0,,730725,63622913.0,ccwlds.circle@myworld.org.sg,
201500000105,PT9111,ICHIBAN (NOBLE) CHILDCARE PTE. LTD.,CC,Childcare Centre,8.0,YUNNAN WALK 2,,,,638139,67953158.0,ICHIBANYUNNANCHILDCARE@GMAIL.COM,
201500000104,PT9110,BRIGHT SPARKS CHILDCARE LLP,CC,Childcare Centre,401.0,WOODLANDS STREET 41,1.0,30.0,,730401,63630264.0,brightsparks2512@gmail.com,
201500000103,PT9109,LIGHTHOUSE EDUCARE PTE LTD,CC,Childcare Centre,21.0,WOODLANDS CLOSE,1.0,13.0,,737854,63699572.0,info@jollyowlsh.com,
201500000102,NT0557,MY FIRST SKOOL,CC,Childcare Centre,,SUMANG LINK,1.0,163.0,,823312,66349989.0,INFO@MYFIRSTSKOOL.COM,
201500000101,15D0061,RAFFLESDENTAL,HC,Healthcare Institution,6.0,RAFFLES BOULEVARD,1.0,212.0,MARINA SQUARE,39594,63397800.0,dental_admin@raffleshospital.com,
201500000099,MCPHA1500060,GUARDIAN PHARMACY (SUN PLAZA 2),PH,Pharmacy,30.0,SEMBAWANG DRIVE,,11.0,SUN PLAZA,757713,62578939.0,,
201500000096,15D0059,ADVANCED DENTAL TOA PAYOH,HC,Healthcare Institution,19.0,LORONG 7 TOA PAYOH,1.0,270.0,,310019,63975411.0,,
201500000095,RC1765,BETHEL CHILD DEVELOPMENT CENTRE,CC,Childcare Centre,111.0,ALJUNIED CRESCENT,1.0,110.0,,380111,68469287.0,bcdcsupervisor@bethelcs.org.sg,
201500000093,RC1764,PLAYSCAPES@4PM,CC,Childcare Centre,606.0,BEDOK RESERVOIR ROAD,1.0,736.0,,470606,62420395.0,secretariat@4pm.org.sg,
201500000090,15D0053,THE DENTAL STUDIO,HC,Healthcare Institution,,SHENTON WAY,,,,68815,62213837.0,oue@dentalstudio.sg,
201500000089,15M0056,EAGLE EYE CENTRE,HC,Healthcare Institution,9.0,KING ALBERT PARK,1.0,,KAP RESIDENCES MALL,598332,64751000.0,,
201500000258,PT9143,EDUGARDEN DISCOVERY PTE. LTD.,CC,Childcare Centre,429.0,JURONG WEST AVENUE 1,1.0,310.0,,640429,68973938.0,edugarden@singnet.com.sg,
201500000256,15D0154,MYSMILE DENTAL CLINIC,HC,Healthcare Institution,108.0,HOUGANG AVENUE 1,1.0,1307.0,,530108,62808140.0,,
201500000251,RC1767,NEW LIFE COMMUNITY SERVICES,CC,Childcare Centre,580.0,WOODLANDS DRIVE 16,1.0,582.0,,730580,68920013.0,enquiry.wdlcc@newlife.org.sg,
