financial_year,actual_revised_estimated,ministry,number
1997,Actual,Attorney-General's Chambers,185.0
1998,Actual,Attorney-General's Chambers,212.0
1999,Actual,Attorney-General's Chambers,209.0
2000,Actual,Attorney-General's Chambers,212.0
2001,Actual,Attorney-General's Chambers,255.0
2002,Actual,Attorney-General's Chambers,276.0
2003,Actual,Attorney-General's Chambers,282.0
2004,Actual,Attorney-General's Chambers,274.0
2005,Actual,Attorney-General's Chambers,270.0
2006,Actual,Attorney-General's Chambers,254.0
2007,Actual,Attorney-General's Chambers,253.0
2008,Actual,Attorney-General's Chambers,267.0
2009,Actual,Attorney-General's Chambers,338.0
2010,Actual,Attorney-General's Chambers,355.0
2011,Actual,Attorney-General's Chambers,417.0
2012,Actual,Attorney-General's Chambers,478.0
2013,Actual,Attorney-General's Chambers,534.0
2014,Actual,Attorney-General's Chambers,550.0
2015,Actual,Attorney-General's Chambers,558.0
2016,Actual,Attorney-General's Chambers,565.0
2017,Actual,Attorney-General's Chambers,580.0
2018,Actual,Attorney-General's Chambers,607.0
2019,Actual,Attorney-General's Chambers,634.0
2020,Revised,Attorney-General's Chambers,665.0
2021,Estimated,Attorney-General's Chambers,666.0
1997,Actual,Auditor-General's Office,181.0
1998,Actual,Auditor-General's Office,178.0
1999,Actual,Auditor-General's Office,167.0
2000,Actual,Auditor-General's Office,150.0
2001,Actual,Auditor-General's Office,163.0
2002,Actual,Auditor-General's Office,157.0
2003,Actual,Auditor-General's Office,146.0
2004,Actual,Auditor-General's Office,127.0
2005,Actual,Auditor-General's Office,112.0
2006,Actual,Auditor-General's Office,103.0
2007,Actual,Auditor-General's Office,104.0
2008,Actual,Auditor-General's Office,114.0
2009,Actual,Auditor-General's Office,145.0
2010,Actual,Auditor-General's Office,159.0
2011,Actual,Auditor-General's Office,159.0
2012,Actual,Auditor-General's Office,172.0
2013,Actual,Auditor-General's Office,169.0
2014,Actual,Auditor-General's Office,171.0
2015,Actual,Auditor-General's Office,181.0
2016,Actual,Auditor-General's Office,188.0
2017,Actual,Auditor-General's Office,185.0
2018,Actual,Auditor-General's Office,186.0
2019,Actual,Auditor-General's Office,190.0
2020,Revised,Auditor-General's Office,206.0
2021,Estimated,Auditor-General's Office,206.0
1997,Actual,Cabinet Office,12.0
1998,Actual,Cabinet Office,12.0
1999,Actual,Cabinet Office,11.0
2000,Actual,Cabinet Office,11.0
2001,Actual,Cabinet Office,10.0
2002,Actual,Cabinet Office,10.0
2003,Actual,Cabinet Office,10.0
2004,Actual,Cabinet Office,10.0
2005,Actual,Cabinet Office,10.0
2006,Actual,Cabinet Office,10.0
2007,Actual,Cabinet Office,11.0
2008,Actual,Cabinet Office,11.0
2009,Actual,Cabinet Office,12.0
2010,Actual,Cabinet Office,11.0
2011,Actual,Cabinet Office,10.0
2012,Actual,Cabinet Office,10.0
2013,Actual,Cabinet Office,10.0
2014,Actual,Cabinet Office,11.0
2015,Actual,Cabinet Office,10.0
2016,Actual,Cabinet Office,11.0
2017,Actual,Cabinet Office,11.0
2018,Actual,Cabinet Office,11.0
2019,Actual,Cabinet Office,10.0
2020,Revised,Cabinet Office,10.0
2021,Estimated,Cabinet Office,12.0
1997,Actual,Civil List,44.0
1998,Actual,Civil List,47.0
1999,Actual,Civil List,45.0
2000,Actual,Civil List,45.0
2001,Actual,Civil List,50.0
2002,Actual,Civil List,47.0
2003,Actual,Civil List,51.0
2004,Actual,Civil List,53.0
2005,Actual,Civil List,52.0
2006,Actual,Civil List,48.0
2007,Actual,Civil List,53.0
2008,Actual,Civil List,55.0
2009,Actual,Civil List,54.0
2010,Actual,Civil List,53.0
2011,Actual,Civil List,56.0
2012,Actual,Civil List,51.0
2013,Actual,Civil List,52.0
2014,Actual,Civil List,52.0
2015,Actual,Civil List,54.0
2016,Actual,Civil List,51.0
2017,Actual,Civil List,53.0
2018,Actual,Civil List,56.0
2019,Actual,Civil List,59.0
2020,Revised,Civil List,68.0
2021,Estimated,Civil List,69.0
1997,Actual,Communications and Information,1340.0
1998,Actual,Communications and Information,1393.0
1999,Actual,Communications and Information,1405.0
2000,Actual,Communications and Information,1454.0
2001,Actual,Communications and Information,2002.0
2002,Actual,Communications and Information,2058.0
2003,Actual,Communications and Information,2063.0
2004,Actual,Communications and Information,2547.0
2005,Actual,Communications and Information,2530.0
2006,Actual,Communications and Information,2592.0
2007,Actual,Communications and Information,2684.0
2008,Actual,Communications and Information,2869.0
2009,Actual,Communications and Information,2975.0
2010,Actual,Communications and Information,3688.0
2011,Actual,Communications and Information,3863.0
2012,Actual,Communications and Information,3361.0
2013,Actual,Communications and Information,3488.0
2014,Actual,Communications and Information,3605.0
2015,Actual,Communications and Information,3525.0
2016,Actual,Communications and Information,4459.0
2017,Actual,Communications and Information,2473.0
2018,Actual,Communications and Information,2460.0
2019,Actual,Communications and Information,2588.0
2020,Revised,Communications and Information,3092.0
2021,Estimated,Communications and Information,3206.0
1997,Actual,"Culture, Community and Youth",0.0
1998,Actual,"Culture, Community and Youth",0.0
1999,Actual,"Culture, Community and Youth",0.0
2000,Actual,"Culture, Community and Youth",0.0
2001,Actual,"Culture, Community and Youth",0.0
2002,Actual,"Culture, Community and Youth",0.0
2003,Actual,"Culture, Community and Youth",0.0
2004,Actual,"Culture, Community and Youth",0.0
