year_of_assessment,tax_group,no_of_companies_assessed,total_income,donations,assessable_income,chargeable_income,group_relief,loss_carryback_relief,ci_aft_reliefs,tax_exemption,ci_aft_exemption,gross_tax_payable,tax_deducted_at_source,other_tax_set_offs,net_tax_assessed
2003,Non-Taxable Group,76265,-15795056,3035,-15798091.0,,,,,,,,,,
2003,Taxable Group,28538,44428334,17165,44411169.0,,,,,,,,,,
2004,Non-Taxable Group,77484,-22026703,61064,-22087766.0,,,,,,,,,,
2004,Taxable Group,29360,36206700,19524,36187176.0,,,,,,,,,,
2005,Non-Taxable Group,80653,-20406048,76668,-20482716.0,,,,,,,,,,
2005,Taxable Group,29095,43310067,18463,43291604.0,,,,,,,,,,
2006,Non-Taxable Group,82535,-22186450,63207,-22249657.0,,,,,,,,,,
2006,Taxable Group,32032,49259749,28526,49231223.0,,,,,,,,,,
2007,Non-Taxable Group,87157,-33207602,64061,,4259010.0,375948.0,6841.0,3876221.0,363999.0,3512222.0,388157.0,413751.0,28489.0,-54083.0
2007,Taxable Group,36401,65060166,80872,,64979294.0,630173.0,20259.0,64328862.0,1341043.0,62987819.0,10670606.0,1002273.0,223336.0,9444997.0
2008,Non-Taxable Group,88626,-36297368,183629,,4113105.0,744226.0,13453.0,3355426.0,378935.0,2976491.0,524544.0,586907.0,36031.0,-98394.0
2008,Taxable Group,43709,78086791,120978,,77965813.0,685752.0,32309.0,77247752.0,3318383.0,73929369.0,11047699.0,557774.0,246891.0,10243034.0
2009,Non-Taxable Group,98784,-48171224,494583,,2740787.0,1927113.0,16144.0,797530.0,422552.0,374978.0,67284.0,45812.0,42456.0,-20984.0
2009,Taxable Group,48822,79428408,147745,,79280663.0,1033861.0,33253.0,78213549.0,3734918.0,74478631.0,11085393.0,2754.0,344637.0,10738002.0
2010,Non-Taxable Group,105974,-59080940,630800,,1921242.0,1248598.0,16066.0,656578.0,431068.0,225510.0,36440.0,33217.0,26437.0,-23214.0
2010,Taxable Group,49816,79481739,239709,,79242030.0,1126207.0,72969.0,78042854.0,3794117.0,74248737.0,10657716.0,6478.0,365871.0,10285367.0
2011,Non-Taxable Group,109142,-64732569,955359,,3108477.0,2322154.0,14892.0,771431.0,470479.0,300952.0,49080.0,16356.0,45399.0,-12675.0
2011,Taxable Group,52069,90628318,250023,,90378295.0,1351963.0,64238.0,88962094.0,3937802.0,85024292.0,12049830.0,4621.0,754609.0,11290600.0
2012,Non-Taxable Group,114141,-66187697,776905,,4036916.0,3097798.0,16140.0,922979.0,513526.0,409453.0,56382.0,15817.0,54278.0,-13712.0
2012,Taxable Group,55643,104327149,317719,,104009430.0,1060731.0,59403.0,102889296.0,4238297.0,98650999.0,13714766.0,6028.0,496701.0,13212037.0
2013,Non-Taxable Group,115577,-81401134,1637068,,3967606.0,2891916.0,10750.0,1064941.0,547363.0,517578.0,61785.0,22877.0,56737.0,-17829.0
2013,Taxable Group,59022,106122605,452171,,105670433.0,2481135.0,48934.0,103140365.0,4503553.0,98636812.0,13612783.0,2131.0,934574.0,12676078.0
2014,Non-Taxable Group,120584,-88132893,1781084,,2738381.0,1889916.0,10663.0,837801.0,576029.0,261772.0,41351.0,13786.0,38530.0,-10965.0
2014,Taxable Group,63304,110649481,544238,,110105243.0,2804343.0,49550.0,107251350.0,4858706.0,102392644.0,13905154.0,2564.0,995399.0,12907191.0
2015,Non-Taxable Group,129256,-91784214,1816389,,3945607.0,3000869.0,11042.0,933696.0,638593.0,295103.0,45516.0,10558.0,43626.0,-8668.0
2015,Taxable Group,69471,117798889,570646,,117228242.0,2551728.0,60684.0,114615830.0,5232959.0,109382871.0,14824420.0,1911.0,1560449.0,13262061.0
2016,Non-Taxable Group,134582,-100015236,2013758,,5712402.0,2346605.0,9414.0,3356384.0,603394.0,2752990.0,165387.0,6940.0,164317.0,-5870.0
2016,Taxable Group,72735,124416763,1082312,,123334452.0,3071682.0,50714.0,120212056.0,5391134.0,114820922.0,15489128.0,2944.0,1644773.0,13841411.0
2017,Non-Taxable Group,141909,-114267360,3661936,,5013197.0,3353092.0,9560.0,1650545.0,574273.0,1076272.0,78831.0,11900.0,76488.0,-9556.0
2017,Taxable Group,75448,134132222,542319,,133589903.0,2002869.0,50872.0,131536161.0,5467281.0,126068880.0,15750509.0,505.0,1665187.0,14084817.0
2018,Non-Taxable Group,152188,-125177736,3090355,,4717797.0,3374242.0,8253.0,1335301.0,560468.0,774833.0,67568.0,10333.0,64722.0,-7487.0
2018,Taxable Group,76808,156369303,410411,,155958893.0,1911473.0,41527.0,154005893.0,5380122.0,148625770.0,17425518.0,1499.0,1745725.0,15678294.0
