year_of_assessment,assessed_income_group,no_of_companies,assessable_income,net_tax_assessed
2004,"10,000 & below",9422,27850,6087
2004,"10,001 - 20,000",2834,41264,9000
2004,"20,001 - 30,000",1976,48750,10617
2004,"30,001 - 40,000",1449,50614,11015
2004,"40,001 - 60,000",1938,92795,20187
2004,"60,001 - 80,000",823,57536,12442
2004,"80,001 - 100,000",662,59968,12835
2004,"100,001 - 150,000",1207,150854,32652
2004,"150,001 - 200,000",760,133207,28457
2004,"200,001 - 300,000",1083,268275,57604
2004,"300,001 - 400,000",735,256265,54249
2004,"400,001 - 500,000",510,228461,48888
2004,"500,001 - 1,000,000",1386,1005674,214725
2004,"1,000,001 - 2,000,000",993,1416248,302671
2004,"2,000,001 - 3,000,000",471,1161546,244413
2004,"3,000,001 - 4,000,000",238,835289,173601
2004,"4,000,001 - 5,000,000",192,836207,177183
2004,"5,000,001 & above",866,26506607,4775561
2005,"10,000 & below",8597,26053,5168
2005,"10,001 - 20,000",2760,40369,7995
2005,"20,001 - 30,000",1908,47152,9338
2005,"30,001 - 40,000",1279,44766,8877
2005,"40,001 - 60,000",1932,93296,18441
2005,"60,001 - 80,000",854,59537,11688
2005,"80,001 - 100,000",678,61914,12157
2005,"100,001 - 150,000",1267,158524,31146
2005,"150,001 - 200,000",796,140124,27574
2005,"200,001 - 300,000",1176,291576,57052
2005,"300,001 - 400,000",788,274432,53425
2005,"400,001 - 500,000",575,257913,50037
2005,"500,001 - 1,000,000",1523,1083976,211420
2005,"1,000,001 - 2,000,000",1202,1716611,333666
2005,"2,000,001 - 3,000,000",507,1261177,242387
2005,"3,000,001 - 4,000,000",301,1052851,200393
2005,"4,000,001 - 5,000,000",194,866090,164254
2005,"5,000,001 & above",1037,32310693,5394031
2006,"10,000 & below",8724,26855,5337
2006,"10,001 - 20,000",2992,44010,8747
2006,"20,001 - 30,000",2183,54340,10789
2006,"30,001 - 40,000",1713,59512,11805
2006,"40,001 - 60,000",2389,114658,22710
2006,"60,001 - 80,000",1000,69686,13721
2006,"80,001 - 100,000",840,76418,15078
2006,"100,001 - 150,000",1504,187620,36994
2006,"150,001 - 200,000",986,172895,34018
2006,"200,001 - 300,000",1381,342023,67295
2006,"300,001 - 400,000",908,314213,61683
2006,"400,001 - 500,000",672,300135,58670
2006,"500,001 - 1,000,000",1838,1319028,258783
2006,"1,000,001 - 2,000,000",1373,1945991,378594
2006,"2,000,001 - 3,000,000",578,1420730,276222
2006,"3,000,001 - 4,000,000",345,1196176,227868
2006,"4,000,001 - 5,000,000",254,1142627,218320
2006,"5,000,001 & above",1161,37646240,6113877
2007,"10,000 & below",9390,29380,5833
2007,"10,001 - 20,000",3258,47764,9491
2007,"20,001 - 30,000",2359,58939,11714
2007,"30,001 - 40,000",1943,67650,13423
2007,"40,001 - 60,000",2558,122520,24260
2007,"60,001 - 80,000",1184,82206,16227
2007,"80,001 - 100,000",993,89492,17649
2007,"100,001 - 150,000",1659,204597,40661
2007,"150,001 - 200,000",1205,209629,41540
2007,"200,001 - 300,000",1530,376801,74427
2007,"300,001 - 400,000",1037,359010,70655
2007,"400,001 - 500,000",738,329781,65331
2007,"500,001 - 1,000,000",1931,1381148,272510
2007,"1,000,001 - 2,000,000",1517,2149103,420582
2007,"2,000,001 - 3,000,000",703,1720094,333888
2007,"3,000,001 - 4,000,000",381,1325030,254985
2007,"4,000,001 - 5,000,000",259,1154284,222803
2007,"5,000,001 & above",1408,46668061,7500584
