financial_year,property_type,no_of_cases,annual_value,median_annual_value,property_tax_collection
2002,HDB,780522,na,na,33681
2002,Private Residential,204943,na,na,287656
2002,Commercial,63179,na,na,250178
2002,Industrial,23533,na,na,265690
2002,Others,4164,na,na,185015
2003,HDB,793949,na,na,32382
2003,Private Residential,216809,na,na,269401
2003,Commercial,64549,na,na,282671
2003,Industrial,26443,na,na,324610
2003,Others,3901,na,na,186192
2004,HDB,800298,na,na,51325
2004,Private Residential,229047,na,na,287125
2004,Commercial,65433,na,na,500220
2004,Industrial,27183,na,na,441624
2004,Others,3633,na,na,228301
2005,HDB,808771,na,na,72694
2005,Private Residential,237522,na,na,309703
2005,Commercial,66169,na,na,512972
2005,Industrial,27613,na,na,459622
2005,Others,3588,na,na,251267
2006,HDB,814123,4568182,na,82073
2006,Private Residential,240652,5395685,na,310829
2006,Commercial,66186,5421594,na,565779
2006,Industrial,28174,4592576,na,474975
2006,Others,4122,3991085,na,312575
2007,HDB,821546,5538635,na,86083
2007,Private Residential,240525,5461625,na,376615
2007,Commercial,66360,7949568,na,763990
2007,Industrial,29108,4619586,na,473459
2007,Others,4206,5228859,na,451938
2008,HDB,827168,5573563,na,82164
2008,Private Residential,245826,6493329,na,445512
2008,Commercial,67027,8760042,na,984143
2008,Industrial,31042,6104261,na,636185
2008,Others,4240,6451032,na,460380
2009,HDB,829267,6855130,na,98139
2009,Private Residential,248587,6785710,na,418383
2009,Commercial,75767,10224382,na,630157
2009,Industrial,32297,7895683,na,437322
2009,Others,3837,4558745,na,137739
2010,HDB,836041,6864915,8100,112520
2010,Private Residential,259342,8265247,24000,536166
2010,Commercial,76825,10372654,42000,896014
2010,Industrial,35591,8344341,36900,838790
2010,Others,2209,4706050,150000,188774
2011,HDB,847608,8119977,9600,104543
2011,Private Residential,269748,9560314,27600,599055
2011,Commercial,77586,12630138,45600,1229525
2011,Industrial,36709,8942726,39500,907783
2011,Others,2277,5497245,274000,830623
2012,HDB,858641,na,10500,144415
2012,Private Residential,282185,na,28800,617439
2012,Commercial,77768,na,48000,1297599
2012,Industrial,39497,na,42500,960293
2012,Others,2089,na,284000,475979
2013,HDB,873254,na,10800,150158
2013,Private Residential,294634,na,30000,719953
2013,Commercial,77928,na,53200,1420893
2013,Industrial,41144,na,43850,998659
2013,Others,2164,na,293500,596153
2014,HDB,899624,na,10440,140286
2014,Private Residential,314788,na,29400,837899
2014,Commercial,78847,na,55600,1452177
2014,Industrial,45118,na,44400,1139602
2014,Others,1916,na,306000,475327
2015,HDB,922365,na,10080,134257
2015,Private Residential,339622,na,27000,853202
2015,Commercial,79221,na,57600,1467894
2015,Industrial,48942,na,41800,1265357
2015,Others,1527,na,335000,440070
2016,HDB,943089,na,9600,122876
2016,Private Residential,367588,na,25200,838729
2016,Commercial,77421,na,60200,1569334
2016,Industrial,52209,na,40000,1212276
2016,Others,1189,na,280000,314253
2017,HDB,971917,na,9600,117947
2017,Private Residential,386642,na,24000,830792
2017,Commercial,79183,na,60600,1547935
2017,Industrial,53036,na,37200,1274141
2017,Others,1019,na,285000,329847
2018,HDB,990093,na,9600,120168
2018,Private Residential,400023,na,24000,830087
2018,Commercial,80039,na,61200,1635055
2018,Industrial,53817,na,35800,1321801
2018,Others,1283,na,231000,375977
2019,HDB,1002671,na,9600,121330
2019,Private Residential,402323,na,24000,818724
2019,Commercial,81555,na,62800,1715165
2019,Industrial,54590,na,36000,1338633
2019,Others,1383,na,229000,419589
