"seq_no","instn_code","instn_name","instn_srvc_type_cde","instn_srvc_type","instn_blk_hse_no","instn_street_name","instn_flr_no","instn_unit_no","instn_bldg_name","instn_pc","instn_ofc_no","instn_email","ap_user_name"
"201500000373","PT9160","SAFARI HOUSE PRESCHOOL YISHUN","CC","Childcare Centre","5","YISHUN INDUSTRIAL STREET 1","01","02","NORTH SPRING BIZHUB","768161","67107328","YS@ZOO-PHONICS.COM.SG","na"
"201500000372","15C0226","TSI & PARTNERS FAMILY CLINIC","HC","Healthcare Institution","151","SERANGOON NORTH AVENUE 2","01","01","na","550151","63834818","na","na"
"201500000366","SS20150009","UNITED EYECARE (BOON KENG) LLP","OS","Optical Shop","27","BENDEMEER ROAD","01","641","BENDEMEER SHOPPING MALL","330027","62978298","ueyecare@yahoo.com.sg","na"
"201500000364","YM0160","MY WORLD PRESCHOOL LTD.","CC","Childcare Centre","787B","WOODLANDS CRESCENT","01","82","na","732787","63621566","ccadm@myworld.org.sg","na"
"201500000363","YM0159","MY WORLD PRESCHOOL LTD.","CC","Childcare Centre","270","YISHUN STREET 22","01","58","na","760270","67560729","ccynl@myworld.org.sg","na"
"201500000362","YM0158","MY WORLD PRESCHOOL LTD.","CC","Childcare Centre","14","ST. GEORGE'S ROAD","01","70","na","320014","62982543","ccstg@myworld.org.sg","na"
"201500000361","PT9159","LITTLE FOOTPRINTS PRESCHOOL PTE LTD","CC","Childcare Centre","201A","COMPASSVALE DRIVE","na","na","na","541201","62436639","sivaneswary.n@littlefootprints.com.sg","na"
"201500000360","PT9158","LITTLE FOOTPRINTS PRESCHOOL PTE LTD","CC","Childcare Centre","275A","COMPASSVALE LINK","na","na","na","541275","62350109","jacqueline.teo@littlefootprint.com.sg","na"
"201500000282","15D0165","NOBLE DENTAL SURGERY","HC","Healthcare Institution","219","BEDOK CENTRAL","01","126","na","460219","65561126","na","na"
"201500000280","PT9152","STAR LEARNERS @ CCK SPORTS CENTRE PTE. LTD.","CC","Childcare Centre","1","CHOA CHU KANG STREET 53","01","01","CHOA CHU KANG SPORTS CENTRE","689236","62500173","mengwei.tan@starlearners.com.sg","na"
"201500000276","15D0161","NEUA DENTAL","HC","Healthcare Institution","321","ALEXANDRA ROAD","02","17","ALEXANDRA CENTRAL","159971","62500128","contact@neua.com.sg","na"
"201500000273","SS20150102","MANCHESTER EYEWEAR","OS","Optical Shop","30","SEMBAWANG DRIVE","01","04","SUN PLAZA","757713","67541965","luciuscheong@916@gmail.com","na"
"201500000272","PT9151","PAT'S SCHOOLHOUSE PTE. LTD.","CC","Childcare Centre","755","UPPER SERANGOON ROAD","na","na","na","534625","62800891","lilianlai@patschoolhouse.com","na"
"201500000271","RC1768","BETHLEHEM EDUCARE CENTRE","CC","Childcare Centre","320","TAMPINES STREET 33","01","106","na","520320","66046912","KOMALA.DAVID@YAHOO.COM","na"
"201500000270","PT9150","SDM-MORIAH PRESCHOOL (GREENWICH) PTE LTD","CC","Childcare Centre","1","SELETAR ROAD","02","07","GREENWICH, THE","807011","62579877","sdmmoriah_gv@sdmgroup.sg","na"
"201500000269","PT9149","CAMBRIDGE@FERNVALE PTE. LTD.","CC","Childcare Centre","409A","FERNVALE ROAD","01","46","CORAL VALE","791409","64257560","fernvale@cambridge.school","na"
"201500000268","PT9148","STAR LEARNERS @ WOODLANDS CIRCLE PTE. LTD.","CC","Childcare Centre","764A","WOODLANDS CIRCLE","01","300","na","731764","67632030","MENGWEI.TAN@STARLEARNERS.COM.SG","na"
"201500000267","PT9147","STAR LEARNERS RESPECT PTE. LTD.","CC","Childcare Centre","51","LORONG PUNTONG","na","na","INGLEWOOD, THE","576441","62500173","MENGWEI.TAN@STARLEARNERS.COM.SG","na"
"201500000265","PT9145","ORION PRESCHOOL","CC","Childcare Centre","90","TANJONG KATONG ROAD","01","00","NINE DEGREES","436959","64456628","ADMIN@ORIONPRESCHOOL.COM.SG","na"
"201500000263","SS20150112","APPLE EYEWEAR","OS","Optical Shop","725","CLEMENTI WEST STREET 2","01","196","na","120725","68730255","amberpeh@gmail.com","na"
"201500000260","15M0156","HEALTHWAY MEDICAL CLINIC","HC","Healthcare Institution","190","LORONG 6 TOA PAYOH","02","512","na","310190","67333855","jed.wong@healthwaymedical.com","na"
"201500000351","SS20150024","WINK OPTICS PREMIUM","OS","Optical Shop","3","TEMASEK BOULEVARD","02","418","SUNTEC CITY MALL","038983","66943195","suntec@winkoptics.com.sg","na"
"201500000350","SS20150025","WINK OPTICS","OS","Optical Shop","3","SIMEI STREET 6","B1","07","EASTPOINT MALL","528833","63762862","eastpoint@winkoptics.com.sg","na"
"201500000349","SS20150026","WINK OPTICS","OS","Optical Shop","33","SENGKANG WEST AVENUE","B1","27","THE SELETAR MALL","797653","63416922","seletarmall@winkoptics.com.sg","na"
"201500000348","PT9157","STAR LEARNERS @ YIO CHU KANG PTE. LTD.","CC","Childcare Centre","645","ANG MO KIO AVENUE 6","01","4991","na","560645","62500173","MENGWEI.TAN@STARLEARNERS.COM.SG","na"
