year_of_assessment,tax_group,no_of_companies_assessed,total_income,donations,assessable_income,chargeable_income,group_relief,loss_carryback_relief,ci_aft_reliefs,tax_exemption,ci_aft_exemption,gross_tax_payable,tax_deducted_at_source,other_tax_set_offs,net_tax_assessed
2003,Non-Taxable Group,76265,-15795056,3035,-15798091,na,na,na,na,na,na,na,na,na,na
2003,Taxable Group,28538,44428334,17165,44411169,na,na,na,na,na,na,na,na,na,na
2004,Non-Taxable Group,77484,-22026703,61064,-22087766,na,na,na,na,na,na,na,na,na,na
2004,Taxable Group,29360,36206700,19524,36187176,na,na,na,na,na,na,na,na,na,na
2005,Non-Taxable Group,80653,-20406048,76668,-20482716,na,na,na,na,na,na,na,na,na,na
2005,Taxable Group,29095,43310067,18463,43291604,na,na,na,na,na,na,na,na,na,na
2006,Non-Taxable Group,82535,-22186450,63207,-22249657,na,na,na,na,na,na,na,na,na,na
2006,Taxable Group,32032,49259749,28526,49231223,na,na,na,na,na,na,na,na,na,na
2007,Non-Taxable Group,87157,-33207602,64061,na,4259010,375948,6841,3876221,363999,3512222,388157,413751,28489,-54083
2007,Taxable Group,36401,65060166,80872,na,64979294,630173,20259,64328862,1341043,62987819,10670606,1002273,223336,9444997
2008,Non-Taxable Group,88626,-36297368,183629,na,4113105,744226,13453,3355426,378935,2976491,524544,586907,36031,-98394
2008,Taxable Group,43709,78086791,120978,na,77965813,685752,32309,77247752,3318383,73929369,11047699,557774,246891,10243034
2009,Non-Taxable Group,98784,-48171224,494583,na,2740787,1927113,16144,797530,422552,374978,67284,45812,42456,-20984
2009,Taxable Group,48822,79428408,147745,na,79280663,1033861,33253,78213549,3734918,74478631,11085393,2754,344637,10738002
2010,Non-Taxable Group,105974,-59080940,630800,na,1921242,1248598,16066,656578,431068,225510,36440,33217,26437,-23214
2010,Taxable Group,49816,79481739,239709,na,79242030,1126207,72969,78042854,3794117,74248737,10657716,6478,365871,10285367
2011,Non-Taxable Group,109142,-64732569,955359,na,3108477,2322154,14892,771431,470479,300952,49080,16356,45399,-12675
2011,Taxable Group,52069,90628318,250023,na,90378295,1351963,64238,88962094,3937802,85024292,12049830,4621,754609,11290600
2012,Non-Taxable Group,114141,-66187697,776905,na,4036916,3097798,16140,922979,513526,409453,56382,15817,54278,-13712
2012,Taxable Group,55643,104327149,317719,na,104009430,1060731,59403,102889296,4238297,98650999,13714766,6028,496701,13212037
2013,Non-Taxable Group,115577,-81401134,1637068,na,3967606,2891916,10750,1064941,547363,517578,61785,22877,56737,-17829
2013,Taxable Group,59022,106122605,452171,na,105670433,2481135,48934,103140365,4503553,98636812,13612783,2131,934574,12676078
2014,Non-Taxable Group,120584,-88132893,1781084,na,2738381,1889916,10663,837801,576029,261772,41351,13786,38530,-10965
2014,Taxable Group,63304,110649481,544238,na,110105243,2804343,49550,107251350,4858706,102392644,13905154,2564,995399,12907191
2015,Non-Taxable Group,129256,-91784214,1816389,na,3945607,3000869,11042,933696,638593,295103,45516,10558,43626,-8668
2015,Taxable Group,69471,117798889,570646,na,117228242,2551728,60684,114615830,5232959,109382871,14824420,1911,1560449,13262061
2016,Non-Taxable Group,134582,-100015236,2013758,na,5712402,2346605,9414,3356384,603394,2752990,165387,6940,164317,-5870
2016,Taxable Group,72735,124416763,1082312,na,123334452,3071682,50714,120212056,5391134,114820922,15489128,2944,1644773,13841411
2017,Non-Taxable Group,141909,-114267360,3661936,na,5013197,3353092,9560,1650545,574273,1076272,78831,11900,76488,-9556
2017,Taxable Group,75448,134132222,542319,na,133589903,2002869,50872,131536161,5467281,126068880,15750509,505,1665187,14084817
2018,Non-Taxable Group,152188,-125177736,3090355,na,4717797,3374242,8253,1335301,560468,774833,67568,10333,64722,-7487
2018,Taxable Group,76808,156369303,410411,na,155958893,1911473,41527,154005893,5380122,148625770,17425518,1499,1745725,15678294
