year_of_assessment,tax_group,income_type,amount
2003,Non-Taxable Group,Dividends,4434834
2003,Non-Taxable Group,Interest,181954
2003,Non-Taxable Group,Other Types,24755
2003,Non-Taxable Group,Rent,118272
2003,Non-Taxable Group,Royalties,5478
2003,Non-Taxable Group,Trade Income,-20560349
2003,Taxable Group,Dividends,2440787
2003,Taxable Group,Interest,599411
2003,Taxable Group,Other Types,31817
2003,Taxable Group,Rent,337458
2003,Taxable Group,Royalties,7937
2003,Taxable Group,Trade Income,41010924
2004,Non-Taxable Group,Dividends,1414911
2004,Non-Taxable Group,Interest,104105
2004,Non-Taxable Group,Other Types,13481
2004,Non-Taxable Group,Rent,100829
2004,Non-Taxable Group,Royalties,3180
2004,Non-Taxable Group,Trade Income,-23663208
2004,Taxable Group,Dividends,1532083
2004,Taxable Group,Interest,495387
2004,Taxable Group,Other Types,26783
2004,Taxable Group,Rent,333071
2004,Taxable Group,Royalties,14597
2004,Taxable Group,Trade Income,33804780
2005,Non-Taxable Group,Dividends,1623052
2005,Non-Taxable Group,Interest,74681
2005,Non-Taxable Group,Other Types,30310
2005,Non-Taxable Group,Rent,107176
2005,Non-Taxable Group,Royalties,2963
2005,Non-Taxable Group,Trade Income,-22244230
2005,Taxable Group,Dividends,1249941
2005,Taxable Group,Interest,265822
2005,Taxable Group,Other Types,46550
2005,Taxable Group,Rent,284376
2005,Taxable Group,Royalties,8006
2005,Taxable Group,Trade Income,41455372
2006,Non-Taxable Group,Dividends,733792
2006,Non-Taxable Group,Interest,170938
2006,Non-Taxable Group,Other Types,15937
2006,Non-Taxable Group,Rent,99198
2006,Non-Taxable Group,Royalties,2181
2006,Non-Taxable Group,Trade Income,-23208496
2006,Taxable Group,Dividends,983470
2006,Taxable Group,Interest,757820
2006,Taxable Group,Other Types,29839
2006,Taxable Group,Rent,304301
2006,Taxable Group,Royalties,27594
2006,Taxable Group,Trade Income,47156725
2007,Non-Taxable Group,Dividends,2145406
2007,Non-Taxable Group,Interest,686290
