year_of_assessment,tax_group,income_type,amount
2004,Non-Taxable Group,Dividends,1503637
2004,Non-Taxable Group,Employment Income,15118201
2004,Non-Taxable Group,Income from Trade and Profession,1240395
2004,Non-Taxable Group,Interest,101814
2004,Non-Taxable Group,Other Types,204313
2004,Non-Taxable Group,Rents/ Net Annual Value,216172
2004,Non-Taxable Group,Royalties,1361
2004,Taxable Group,Dividends,1820535
2004,Taxable Group,Employment Income,46904231
2004,Taxable Group,Income from Trade and Profession,3169185
2004,Taxable Group,Interest,109834
2004,Taxable Group,Other Types,697741
2004,Taxable Group,Rents/ Net Annual Value,789246
2004,Taxable Group,Royalties,2283
2005,Non-Taxable Group,Dividends,1210511
2005,Non-Taxable Group,Employment Income,12623020
2005,Non-Taxable Group,Income from Trade and Profession,864648
2005,Non-Taxable Group,Interest,48972
2005,Non-Taxable Group,Other Types,714013
2005,Non-Taxable Group,Rents/ Net Annual Value,116575
2005,Non-Taxable Group,Royalties,547
2005,Taxable Group,Dividends,1763494
2005,Taxable Group,Employment Income,49652133
2005,Taxable Group,Income from Trade and Profession,3374792
2005,Taxable Group,Interest,65148
2005,Taxable Group,Other Types,501099
2005,Taxable Group,Rents/ Net Annual Value,656642
2005,Taxable Group,Royalties,2554
2006,Non-Taxable Group,Dividends,1584761
2006,Non-Taxable Group,Employment Income,11531814
2006,Non-Taxable Group,Income from Trade and Profession,799516
2006,Non-Taxable Group,Interest,22823
2006,Non-Taxable Group,Other Types,92955
2006,Non-Taxable Group,Rents/ Net Annual Value,255639
2006,Non-Taxable Group,Royalties,771
2006,Taxable Group,Dividends,1700378
2006,Taxable Group,Employment Income,54400434
2006,Taxable Group,Income from Trade and Profession,3460177
2006,Taxable Group,Interest,44413
2006,Taxable Group,Other Types,743469
2006,Taxable Group,Rents/ Net Annual Value,840283
2006,Taxable Group,Royalties,2872
2007,Non-Taxable Group,Dividends,1557376
2007,Non-Taxable Group,Employment Income,11806417
2007,Non-Taxable Group,Income from Trade and Profession,834701
2007,Non-Taxable Group,Interest,19178
2007,Non-Taxable Group,Other Types,84450
2007,Non-Taxable Group,Rents/ Net Annual Value,238068
2007,Non-Taxable Group,Royalties,599
2007,Taxable Group,Dividends,1620935
2007,Taxable Group,Employment Income,62822210
2007,Taxable Group,Income from Trade and Profession,4099679
2007,Taxable Group,Interest,50404
2007,Taxable Group,Other Types,687723
2007,Taxable Group,Rents/ Net Annual Value,900248
2007,Taxable Group,Royalties,2820
2008,Non-Taxable Group,Dividends,1253856
2008,Non-Taxable Group,Employment Income,12110797
2008,Non-Taxable Group,Income from Trade and Profession,909109
2008,Non-Taxable Group,Interest,17293
2008,Non-Taxable Group,Other Types,59006
2008,Non-Taxable Group,Rents/ Net Annual Value,272990
2008,Non-Taxable Group,Royalties,784
2008,Taxable Group,Dividends,1762732
2008,Taxable Group,Employment Income,75220766
2008,Taxable Group,Income from Trade and Profession,5356850
2008,Taxable Group,Interest,56952
2008,Taxable Group,Other Types,679060
2008,Taxable Group,Rents/ Net Annual Value,1143904
2008,Taxable Group,Royalties,4437
2009,Non-Taxable Group,Dividends,2612
2009,Non-Taxable Group,Employment Income,13757285
2009,Non-Taxable Group,Income from Trade and Profession,979900
2009,Non-Taxable Group,Interest,13561
2009,Non-Taxable Group,Other Types,33396
2009,Non-Taxable Group,Rents/ Net Annual Value,254508
2009,Non-Taxable Group,Royalties,893
2009,Taxable Group,Dividends,8329
2009,Taxable Group,Employment Income,84475934
2009,Taxable Group,Income from Trade and Profession,5241066
2009,Taxable Group,Interest,53811
2009,Taxable Group,Other Types,266301
2009,Taxable Group,Rents/ Net Annual Value,1764971
2009,Taxable Group,Royalties,4131
2010,Non-Taxable Group,Dividends,1983
