year_of_assessment,chargeable_income_group,no_of_companies,chargeable_income,net_tax_assessed
2008,"10,000 & below",10514,35165,6303
2008,"10,001 - 20,000",4173,60962,10925
2008,"20,001 - 30,000",2993,74194,13262
2008,"30,001 - 40,000",2256,78529,14081
2008,"40,001 - 60,000",3488,172259,30782
2008,"60,001 - 80,000",2291,159616,28504
2008,"80,001 - 100,000",1758,158552,28260
2008,"100,001 - 150,000",3012,374390,66789
2008,"150,001 - 200,000",1237,213358,37678
2008,"200,001 - 300,000",1460,360012,63640
2008,"300,001 - 400,000",1047,365681,64465
2008,"400,001 - 500,000",730,327407,58053
2008,"500,001 - 1,000,000",2174,1552523,274384
2008,"1,000,001 - 2,000,000",1765,2524951,442777
2008,"2,000,001 - 3,000,000",777,1898256,330933
2008,"3,000,001 - 4,000,000",481,1653680,289947
2008,"4,000,001 - 5,000,000",327,1460785,249684
2008,"5,000,001 & above",1736,57839983,8286934
2009,"10,000 & below",12640,42082,7736
2009,"10,001 - 20,000",5094,74705,13447
2009,"20,001 - 30,000",3550,88131,15791
2009,"30,001 - 40,000",2711,94542,16894
2009,"40,001 - 60,000",4034,198556,35673
2009,"60,001 - 80,000",2769,192470,34512
2009,"80,001 - 100,000",2302,207245,37073
2009,"100,001 - 150,000",3688,457899,81662
2009,"150,001 - 200,000",1443,249887,44206
2009,"200,001 - 300,000",1781,440220,77969
2009,"300,001 - 400,000",1187,410467,72916
2009,"400,001 - 500,000",965,434288,77066
2009,"500,001 - 1,000,000",2780,1908040,335574
2009,"1,000,001 - 2,000,000",1933,2749926,485610
2009,"2,000,001 - 3,000,000",839,2071441,365671
2009,"3,000,001 - 4,000,000",513,1777716,308987
2009,"4,000,001 - 5,000,000",322,1442945,248479
2009,"5,000,001 & above",1793,58511097,8573122
2010,"10,000 & below",13646,44480,7548
2010,"10,001 - 20,000",5209,76188,12930
2010,"20,001 - 30,000",3666,90883,15416
2010,"30,001 - 40,000",2752,95914,16281
2010,"40,001 - 60,000",4172,206475,35023
2010,"60,001 - 80,000",2824,196544,33334
2010,"80,001 - 100,000",2291,206401,34990
2010,"100,001 - 150,000",3835,474266,80261
2010,"150,001 - 200,000",1605,277959,47073
2010,"200,001 - 300,000",1806,444297,74950
2010,"300,001 - 400,000",1256,436396,73419
2010,"400,001 - 500,000",924,413730,69490
2010,"500,001 - 1,000,000",2642,1871700,313511
2010,"1,000,001 - 2,000,000",1871,2668588,445897
2010,"2,000,001 - 3,000,000",864,2111258,352467
2010,"3,000,001 - 4,000,000",517,1785649,293917
2010,"4,000,001 - 5,000,000",337,1507540,248613
2010,"5,000,001 & above",1825,60776379,8316487
2011,"10,000 & below",13936,45884,7255
2011,"10,001 - 20,000",5470,80106,12815
2011,"20,001 - 30,000",3871,95706,15372
