year_of_assessment,resident_type,chargeable_income_group,no_of_companies,chargeable_income,net_tax_assessed
2005,Non-Tax Resident,"10,000 & below",340,1,0
2005,Non-Tax Resident,"10,001 - 20,000",173,3,1
2005,Non-Tax Resident,"20,001 - 30,000",103,3,1
2005,Non-Tax Resident,"30,001 - 60,000",142,6,1
2005,Non-Tax Resident,"60,001 - 100,000",71,6,1
2005,Non-Tax Resident,"100,001 - 300,000",150,27,5
2005,Non-Tax Resident,"300,001 - 500,000",64,25,5
2005,Non-Tax Resident,"500,001 - 1,000,000",81,59,11
2005,Non-Tax Resident,"1,000,001 - 3,000,000",99,176,34
2005,Non-Tax Resident,"3,000,001 - 5,000,000",28,109,19
2005,Non-Tax Resident,"5,000,001 & above",100,4799,654
2005,Tax Resident,"10,000 & below",8257,25,5
2005,Tax Resident,"10,001 - 20,000",2587,38,7
2005,Tax Resident,"20,001 - 30,000",1805,45,9
2005,Tax Resident,"30,001 - 60,000",3069,132,26
2005,Tax Resident,"60,001 - 100,000",1461,116,23
2005,Tax Resident,"100,001 - 300,000",3089,563,110
2005,Tax Resident,"300,001 - 500,000",1299,507,99
2005,Tax Resident,"500,001 - 1,000,000",1442,1025,200
2005,Tax Resident,"1,000,001 - 3,000,000",1610,2801,542
2005,Tax Resident,"3,000,001 - 5,000,000",467,1810,346
2005,Tax Resident,"5,000,001 & above",937,27512,4740
2006,Non-Tax Resident,"10,000 & below",349,1,0
2006,Non-Tax Resident,"10,001 - 20,000",153,2,1
2006,Non-Tax Resident,"20,001 - 30,000",121,3,1
2006,Non-Tax Resident,"30,001 - 60,000",176,7,1
2006,Non-Tax Resident,"60,001 - 100,000",73,6,1
2006,Non-Tax Resident,"100,001 - 300,000",160,29,6
2006,Non-Tax Resident,"300,001 - 500,000",71,27,5
2006,Non-Tax Resident,"500,001 - 1,000,000",88,61,12
2006,Non-Tax Resident,"1,000,001 - 3,000,000",118,203,39
2006,Non-Tax Resident,"3,000,001 - 5,000,000",30,115,21
2006,Non-Tax Resident,"5,000,001 & above",110,5462,806
2006,Tax Resident,"10,000 & below",8375,26,5
2006,Tax Resident,"10,001 - 20,000",2839,42,8
2006,Tax Resident,"20,001 - 30,000",2062,51,10
2006,Tax Resident,"30,001 - 60,000",3926,167,33
2006,Tax Resident,"60,001 - 100,000",1767,140,28
2006,Tax Resident,"100,001 - 300,000",3711,674,133
2006,Tax Resident,"300,001 - 500,000",1509,587,115
2006,Tax Resident,"500,001 - 1,000,000",1750,1258,247
2006,Tax Resident,"1,000,001 - 3,000,000",1833,3164,616
2006,Tax Resident,"3,000,001 - 5,000,000",569,2224,425
2006,Tax Resident,"5,000,001 & above",1051,32184,5308
2007,Non-Tax Resident,"10,000 & below",366,2,0
2007,Non-Tax Resident,"10,001 - 20,000",203,3,1
2007,Non-Tax Resident,"20,001 - 30,000",130,3,1
2007,Non-Tax Resident,"30,001 - 60,000",173,7,1
2007,Non-Tax Resident,"60,001 - 100,000",78,6,1
2007,Non-Tax Resident,"100,001 - 300,000",168,30,6
2007,Non-Tax Resident,"300,001 - 500,000",84,32,6
2007,Non-Tax Resident,"500,001 - 1,000,000",94,66,13
2007,Non-Tax Resident,"1,000,001 - 3,000,000",116,199,39
2007,Non-Tax Resident,"3,000,001 - 5,000,000",36,138,26
2007,Non-Tax Resident,"5,000,001 & above",118,6154,854
2007,Tax Resident,"10,000 & below",9024,28,6
2007,Tax Resident,"10,001 - 20,000",3055,45,9
2007,Tax Resident,"20,001 - 30,000",2229,56,11
2007,Tax Resident,"30,001 - 60,000",4328,183,36
2007,Tax Resident,"60,001 - 100,000",2099,165,33
2007,Tax Resident,"100,001 - 300,000",4226,761,151
2007,Tax Resident,"300,001 - 500,000",1691,657,130
2007,Tax Resident,"500,001 - 1,000,000",1837,1315,259
2007,Tax Resident,"1,000,001 - 3,000,000",2104,3670,715
2007,Tax Resident,"3,000,001 - 5,000,000",604,2341,452
2007,Tax Resident,"5,000,001 & above",1290,40514,6646
2008,Non-Tax Resident,"10,000 & below",364,1,0
2008,Non-Tax Resident,"10,001 - 20,000",200,3,0
2008,Non-Tax Resident,"20,001 - 30,000",136,3,1
2008,Non-Tax Resident,"30,001 - 60,000",208,9,2
2008,Non-Tax Resident,"60,001 - 100,000",143,11,2
2008,Non-Tax Resident,"100,001 - 300,000",196,34,6
2008,Non-Tax Resident,"300,001 - 500,000",76,31,5
2008,Non-Tax Resident,"500,001 - 1,000,000",103,74,13
2008,Non-Tax Resident,"1,000,001 - 3,000,000",116,214,37
2008,Non-Tax Resident,"3,000,001 - 5,000,000",42,164,28
2008,Non-Tax Resident,"5,000,001 & above",126,6728,862
2008,Tax Resident,"10,000 & below",10150,34,6
2008,Tax Resident,"10,001 - 20,000",3973,58,11
2008,Tax Resident,"20,001 - 30,000",2857,71,12
2008,Tax Resident,"30,001 - 60,000",5536,242,43
2008,Tax Resident,"60,001 - 100,000",3906,307,55
2008,Tax Resident,"100,001 - 300,000",5513,914,162
